餐厅名,种类,地址,评分,人均,链接
金品记猪肚鸡酒楼（拱北总店）,火锅,香洲区粤海中路2300号丽枫酒店一楼（原四海酒店）,3.8,54,https://www.meituan.com/meishi/1239914/
潮阳老七牛肉火锅（珠海总店）,火锅,香洲区紫荆路359号（紫荆园巴士站后）,4,56,https://www.meituan.com/meishi/63582273/
豆捞坊（华发商都店）,火锅,香洲区珠海大道8号华发商都C馆2层,3.8,15,https://www.meituan.com/meishi/40457924/
黄记煌三汁焖锅（茂业百货店）,火锅,香洲区紫荆路301号茂业百货六楼(香洲总站对面),3.7,88,https://www.meituan.com/meishi/62842313/
嘎嘎香东北菜,火锅,香洲区怡华街72号（近体育中心西门，富康花园美食街）,4,95,https://www.meituan.com/meishi/2214064/
巴蜀人家（鞍莲路店）,火锅,香洲区鞍莲8号大鹏酒店1-2楼（前山政府对面）,4.4,16,https://www.meituan.com/meishi/2837083/
罗记皇鸽餐厅（红旗店）,火锅,金湾区广安路26号,3.7,56,https://www.meituan.com/meishi/69273066/
钟鱼来了鱼火锅（官塘店）,火锅,香洲区唐家湾镇金唐西路官塘陶园新村12号（北理北门对面，百世汇通快递旁）,4.2,61,https://www.meituan.com/meishi/42790928/
尚品捞火锅茶餐厅,火锅,香洲区湾仔中盛路42号（建设银行对面）,3.9,31,https://www.meituan.com/meishi/41409474/
渔和虾,火锅,香洲区怡华街38号,4.8,59,https://www.meituan.com/meishi/42219637/
皇鸽餐厅,火锅,香洲区明珠南路1125号（明珠商业广场前300米）,4.5,72,https://www.meituan.com/meishi/71564124/
淼福猪肚鸡（拱北店）,火锅,香洲区侨岭街30号原伙工殿（迎商宾馆楼下）,4.2,58,https://www.meituan.com/meishi/74021175/
老地方养生板栗鸡,火锅,金湾区三灶镇安堂村商业街三期1楼C1-08铺,4.3,61,https://www.meituan.com/meishi/41399011/
蛙国演义（柠溪店）,火锅,香洲区柠溪路240号（上岛咖啡旁）,3.9,44,https://www.meituan.com/meishi/70900/
德顺轩粥底火锅城,火锅,香洲区情侣南路362号（近九州港）,4.5,75,https://www.meituan.com/meishi/1240551/
大自然农庄,火锅,斗门区黄杨大道与工业大道西行100米（近井岸二桥，高速底下）,3.8,54,https://www.meituan.com/meishi/6634718/
黄记煌三汁焖锅（华发商都店）,火锅,香洲区珠海大道8号华发商都B馆2号楼2层B2023b,3.6,56,https://www.meituan.com/meishi/6223345/
三顾冒菜（茂业百货店）,火锅,香洲区紫荆路301号6楼601A-03商铺,3.4,88,https://www.meituan.com/meishi/51595538/
四川简阳原汤羊肉火锅,火锅,香洲区翠珠三街1号（翠微电脑城后）,4.5,15,https://www.meituan.com/meishi/4921222/
翠源茶楼,火锅,香洲区翠微西路668号,3.5,95,https://www.meituan.com/meishi/40640390/
胜海东山羊庄,火锅,香洲区迎宾北路1065号帝濠度假酒店旁,5,16,https://www.meituan.com/meishi/4118098/
